Urban Area GEOID,County GEOID,Land Area,Water Area
24094,38089,12.258,0.077
24121,47043,16.451,0.063
24175,30001,2.747,0.0
24202,45033,6.33,0.043
24256,06013,4.202,1.112
24283,06095,4.395,0.003
24310,17103,7.817,0.385
24337,20057,10.918,0.128
24364,55049,3.255,0.0
24391,22005,6.007,0.15
24391,22007,4.304,0.0
24391,22093,5.338,0.431
24445,06047,2.293,0.0
24472,01045,3.524,0.0
24472,01061,0.091,0.0
24472,01069,51.472,0.15
24499,04003,5.481,0.0
24526,13069,16.594,0.208
24539,26005,4.232,0.541
24553,56009,3.279,0.0
24580,10001,72.304,1.036
24607,23031,2.585,0.029
24607,33017,49.728,1.01
24634,26027,3.557,0.047
24715,13175,20.431,0.164
24796,42033,6.63,0.055
24796,42065,0.529,0.0
24823,17085,2.319,0.014
24823,19061,31.848,0.074
24850,27137,49.689,3.295
24850,55031,17.177,1.652
24877,05041,3.107,0.0
24904,48341,4.937,0.0
24931,40137,13.611,0.064
24958,26115,3.901,0.037
25012,36013,12.753,0.045
25039,37085,11.111,0.053
25093,17145,4.061,0.021
25120,26155,3.78,0.048
25147,08067,9.451,0.033
25201,40013,12.006,0.016
25216,33017,4.036,0.025
25228,37037,8.0,0.042
25228,37063,143.07,1.09
25228,37135,32.044,0.175
25228,37183,0.241,0.0
25237,53033,2.474,0.001
25309,47045,12.976,0.088
25390,08037,3.406,0.018
25480,49049,2.021,0.0
25498,48323,21.145,0.141
25579,06107,1.35,0.0
25598,36029,5.819,0.017
25658,36103,35.852,2.266
25687,39029,12.709,0.092
25687,42007,0.115,0.002
25687,54029,2.702,0.535
25714,13091,5.962,0.072
25741,24041,11.15,0.133
25768,39029,2.907,0.0
25849,42089,38.937,0.315
25876,26069,5.005,0.0
25903,55127,4.141,0.638
25930,08123,2.16,0.0
25957,39135,4.494,0.001
25984,26045,2.805,0.055
26038,55017,23.26,0.675
26038,55035,39.235,3.277
26065,42021,2.589,0.012
26092,37157,14.235,0.016
26119,37041,3.586,0.069
26173,55025,0.506,0.0
26173,55105,5.684,0.191
26227,42049,2.437,0.075
26254,48239,3.695,0.0
26275,08037,11.603,0.226
26308,17049,13.576,0.029
26362,13105,5.021,0.027
26375,17089,3.565,0.0
26389,48481,7.828,0.008
26405,06025,19.352,0.018
26422,24013,18.38,0.183
26443,29131,3.338,0.0
26470,05139,20.262,0.0
26524,20015,7.446,0.008
26659,48021,3.745,0.0
26659,48453,1.022,0.0
26686,37029,0.645,0.009
26686,37139,15.871,0.0
26750,21093,54.692,0.501
26750,21163,1.133,0.001
26767,40009,9.013,0.0
26794,18039,93.736,3.123
26794,26027,1.203,0.0
26821,55127,6.94,0.056
26875,54083,7.121,0.0
26902,32007,12.56,0.0
26956,51165,4.805,0.025
26983,53037,8.84,0.021
27010,36111,3.303,0.03
27037,13123,13.212,0.112
27085,42007,3.598,0.015
27085,42073,3.761,0.11
27118,36015,31.625,0.456
27118,36101,0.073,0.0
27253,35013,11.15,0.229
27253,48141,244.734,0.758
27261,06079,29.963,0.044
27280,40017,8.715,0.005
27290,48215,6.255,0.0
27307,18095,4.541,0.0
27307,18159,0.091,0.0
27361,32033,3.096,0.0
27469,16045,5.73,0.079
27523,20111,11.187,0.081
27550,51081,2.071,0.004
27550,51595,4.471,0.056
27631,40047,29.487,0.014
27658,48139,12.418,0.349
27685,01031,20.911,0.058
27685,01045,2.836,0.0
27712,49039,1.746,0.0
27739,53025,4.272,0.0
27766,42049,73.339,0.23
27793,47171,5.926,0.005
27820,06077,1.988,0.0
27847,26041,18.063,0.16
27874,35039,14.943,0.162
27874,35049,5.194,0.001
27901,41005,2.991,0.006
27928,08069,12.15,0.271
27955,19063,3.45,0.0
28009,47107,4.505,0.0
28063,20045,2.62,0.042
28090,01005,6.229,0.011
28090,13239,0.725,0.0
28117,41039,73.485,0.064
28144,22001,0.61,0.0
28144,22097,6.523,0.03
28198,06023,18.795,1.459
28225,17203,2.522,0.048
28262,29099,1.797,0.0
28262,29189,7.537,0.017
28306,56041,7.674,0.044
28333,18129,1.029,0.007
28333,18163,88.098,1.005
28333,18173,23.626,0.112
28360,55105,2.803,0.0
28441,08059,9.46,0.085
28495,29047,5.561,0.0
28495,29177,0.139,0.0
28506,06107,2.87,0.0
28511,33015,11.732,0.122
28522,48141,1.691,0.023
28549,02090,74.303,2.54
28603,31095,2.36,0.004
28657,06095,40.809,0.239
28684,17191,3.262,0.025
28711,19101,5.383,0.046
28765,47035,9.635,0.4
28766,01003,59.065,0.26
28846,27091,3.638,0.381
28873,54049,19.776,0.704
28873,54091,0.412,0.0
28981,72037,8.826,0.001
28981,72053,11.042,0.202
28981,72089,7.775,0.009
28981,72103,6.716,0.008
28995,08041,8.476,0.0
29008,48047,2.186,0.0
29024,06073,26.026,0.028
29035,32001,13.961,0.007
29062,31147,3.353,0.005
29089,27027,17.97,0.01
29089,38017,59.762,0.104
29116,27131,10.241,0.237
29251,29187,18.053,0.04
29278,35045,32.623,0.014
29305,37147,2.948,0.0
29332,51049,0.632,0.01
29332,51147,5.931,0.103
29440,37051,166.092,1.862
29440,37085,5.374,0.023
29440,37093,24.458,0.165
29467,47103,12.435,0.0
29494,05007,119.117,1.972
29494,05143,78.681,0.446
29494,29119,0.471,0.003
29555,26049,24.436,4.905
29555,26093,5.216,0.659
29555,26125,0.013,0.0
29575,27111,7.636,0.604
29608,12089,50.554,1.137
29656,32019,9.94,0.0
29656,32031,0.657,0.0
29683,22029,4.836,0.0
29710,06111,2.633,0.0
29737,39063,25.63,0.158
29764,06019,2.444,0.055
29764,06039,0.043,0.0
29769,36103,2.864,0.051
29775,08123,15.216,0.195
29791,13017,8.504,0.203
29818,04005,29.263,0.03
29846,34019,18.244,0.023
29846,34035,0.149,0.0
29872,26049,204.756,1.741
29872,26125,0.702,0.0
29899,17025,3.185,0.0
29953,01033,25.368,0.052
29953,01077,29.259,0.089
29980,04021,2.655,0.0
30034,41039,7.98,0.015
30061,45031,13.578,0.12
30061,45041,54.46,0.446
30073,04021,5.874,0.0
30088,48493,3.853,0.006
30171,01003,49.045,0.424
30223,55039,24.69,0.313
30232,55127,10.253,3.432
30331,37161,26.891,0.074
30358,27003,0.357,0.01
30358,27025,2.523,0.044
30358,27163,11.133,4.335
30439,48257,19.678,0.071
30466,05123,7.014,0.02
30493,13207,5.202,0.012
30520,29213,6.597,0.017
30547,55055,6.904,0.113
30574,06045,9.808,0.137
30628,08069,106.67,6.077
30628,08123,11.307,0.974
30682,19187,13.615,0.199
30736,06071,3.617,0.0
30748,29169,26.177,0.008
30755,08123,2.33,0.0
30763,17067,0.319,0.0
30763,19111,5.642,0.0
30790,12105,2.319,0.026
30817,08087,5.542,0.0
30844,01049,8.646,0.012
30871,22115,9.457,0.025
30885,01045,7.766,0.0
30898,20011,5.103,0.006
30925,05033,20.551,0.02
30925,05131,51.804,0.304
30925,40079,1.618,0.0
30952,48371,5.985,0.0
30979,06023,5.821,0.0
31033,13225,5.81,0.013
31087,18003,163.172,0.27
31087,18183,0.424,0.0
31114,39063,1.625,0.07
31114,39147,5.214,0.006
31114,39173,1.469,0.006
31150,12069,11.198,1.385
31150,12095,5.222,0.283
31150,12097,19.211,0.242
31150,12105,48.852,2.145
31195,26145,2.923,0.038
31222,18023,7.486,0.0
31249,21073,22.272,0.515
31249,21239,0.056,0.001
31262,26019,4.237,0.051
31276,21213,8.337,0.018
31303,22101,6.197,0.061
31330,33013,4.225,0.208
31384,37113,13.965,0.318
31411,42121,5.623,0.029
31438,51093,1.186,0.008
31438,51175,0.228,0.0
31438,51620,5.025,0.035
31478,08049,4.454,0.005
31519,24013,4.617,0.017
31519,24021,75.675,0.663
31573,48171,7.829,0.006
31600,51177,50.612,0.588
31600,51179,28.556,0.564
31600,51630,10.45,0.069
31627,29123,3.269,0.006
31660,26145,8.46,0.007
31668,42079,1.563,0.0
31672,53029,12.077,0.134
31681,17177,10.621,0.037
31735,26123,3.832,0.062
31762,31053,13.771,0.326
31789,39143,13.395,0.364
31843,06019,157.8,1.246
31843,06039,1.312,0.0
31852,53055,4.425,0.472
31889,08117,2.153,0.0
31924,51187,10.707,0.021
31978,12105,7.493,1.935
32032,21075,1.957,0.018
32032,47131,1.199,0.0
32086,29027,8.671,0.091
32092,36075,5.732,0.29
32113,01055,61.209,2.029
32140,45021,15.427,0.048
32167,12001,87.697,1.345
32194,13013,2.497,0.036
32194,13085,13.746,0.682
32194,13117,88.786,1.44
32194,13135,4.655,0.01
32194,13139,131.596,9.344
32194,13157,10.385,0.056
32221,48097,9.555,0.01
32248,51035,0.83,0.0
32248,51077,0.003,0.0
32248,51640,5.788,0.026
32329,17095,21.923,0.055
32356,39033,6.41,0.016
32356,39117,0.004,0.0
32383,22057,18.698,0.367
32437,35031,13.678,0.0
32451,06067,7.087,0.0
32491,48039,0.034,0.0
32491,48167,108.947,3.065
32518,20055,12.749,0.026
32572,32005,12.679,0.019
32653,37071,120.299,1.008
32653,37119,4.28,0.325
32707,48099,10.175,0.012
32734,26137,10.26,3.314
32761,17073,3.757,0.0
32788,36051,2.411,0.0
32842,36069,7.39,0.005
32842,36099,8.836,0.285
32842,36123,0.533,0.0
32850,39007,4.833,0.0
32869,17037,2.195,0.05
32950,10005,4.933,0.0
32977,21067,0.013,0.0
32977,21209,15.048,0.152
33031,45043,9.246,0.496
33091,39113,2.781,0.0
33139,42001,8.271,0.239
33220,17117,2.84,0.0
33247,56005,19.652,0.028
33301,48459,4.091,0.013
33328,06085,42.54,0.0
33436,21009,11.798,0.025
33490,27085,3.194,0.007
33517,30021,5.426,0.012
33598,36091,8.095,0.29
33598,36113,35.628,2.7
33598,36115,7.895,0.025
33625,19129,2.403,0.012
33640,27121,4.242,0.0
33652,08045,5.461,0.0
33679,04007,8.139,0.0
33733,36035,15.536,0.01
33742,04021,7.869,0.0
33814,37191,53.16,0.157
33841,06053,1.542,0.003
33868,48177,4.356,0.0
33922,20181,2.794,0.0
33960,04013,9.598,0.0
34042,37037,3.622,0.01
34111,54091,3.484,0.131
34122,55089,23.105,0.359
34138,48503,4.701,0.0
34165,48221,21.866,1.832
34219,27119,4.829,0.0
34219,38035,21.655,0.093
34246,31079,29.602,0.268
34273,08077,75.608,1.373
34286,08049,5.378,0.058
34300,26081,233.606,5.389
34300,26139,40.752,0.749
34327,27061,10.454,0.83
34381,53077,4.125,0.0
34470,53061,3.097,0.087
34489,35006,6.145,0.0
34516,41029,4.549,0.361
34516,41033,25.868,0.444
34543,49045,4.394,0.0
34597,06057,29.652,0.021
34651,21043,5.202,0.088
34705,20009,6.241,0.104
34759,30013,30.305,0.705
34786,08123,37.299,0.143
34813,55009,113.658,2.848
34840,18133,4.758,0.051
34876,18029,18.306,0.459
34876,39061,0.465,0.0
34894,47059,21.97,0.005
34921,06053,2.138,0.0
34975,25011,14.251,0.097
35002,39071,1.703,0.0
35083,56037,5.559,0.08
35164,37081,169.307,2.174
35191,18031,8.747,0.035
35245,04019,20.165,0.015
35272,01013,5.607,0.0
35299,17005,2.986,0.0
35309,21177,5.46,0.097
35326,26117,6.643,0.122
35353,28151,16.786,0.023
35380,37147,66.378,0.351
35407,39037,6.653,0.062
35434,42085,7.932,0.011
35461,45007,20.376,0.259
35461,45045,185.632,1.361
35461,45077,41.754,0.075
35461,45083,14.406,0.535
35488,48231,17.303,0.024
35542,05131,6.612,0.143
35569,28083,10.677,0.028
35596,45001,0.372,0.0
35596,45047,35.147,0.258
35623,28043,7.121,0.0
35677,06007,3.98,0.0
35688,13231,0.076,0.0
35688,13255,27.837,0.379
35704,19157,4.334,0.041
35716,18017,0.207,0.0
35716,18103,4.099,0.003
35785,40041,10.187,0.004
35812,42085,6.077,0.003
35839,06083,1.142,0.004
35852,72055,2.901,0.003
35866,72015,7.197,0.016
35866,72057,7.253,0.003
35866,72109,7.316,0.116
35920,28045,21.357,0.524
35920,28047,116.683,9.011
35920,28059,30.597,2.47
35974,48213,15.977,0.023
35974,48257,2.429,0.001
36001,08051,3.656,0.005
36055,06047,1.164,0.0
36082,40083,6.835,0.0
36109,40139,4.815,0.0
36136,08037,5.777,0.112
36190,24043,49.309,0.017
36190,42055,8.939,0.0
36190,51069,0.776,0.0
36190,54003,61.372,0.059
36190,54037,0.373,0.0
36217,16013,5.269,0.005
36271,06081,8.347,0.0
36384,34037,21.806,0.954
36406,30081,3.979,0.004
36514,22063,2.97,0.0
36514,22105,73.45,0.277
36541,34001,8.097,0.139
36541,34007,0.165,0.005
36568,17089,2.725,0.0
36585,37133,3.468,0.073
36585,37141,27.981,0.15
36595,24005,0.021,0.0
36595,24013,7.863,0.01
36703,06031,18.231,0.0
36730,29127,9.829,0.017
36730,29173,0.772,0.0
36784,42001,8.111,0.043
36784,42133,17.599,0.003
36838,19165,2.598,0.0
36865,21095,4.802,0.231
36892,48061,53.521,0.727
36892,48215,0.636,0.0
36946,47145,30.492,0.153
36973,10001,3.361,0.007
37000,17165,5.291,0.031
37081,42041,93.005,1.453
37081,42043,113.394,9.748
37081,42075,10.761,0.033
37081,42099,2.889,0.004
37081,42133,30.201,0.056
37091,46083,2.446,0.0
37108,05009,12.39,0.029
37145,18029,0.375,0.001
37145,39061,7.077,0.027
37162,51165,15.288,0.026
37162,51660,15.815,0.048
37189,29037,6.833,0.035
37216,21167,6.527,0.016
37243,09003,448.909,8.105
37243,09005,10.916,0.222
37243,09007,40.415,0.279
37243,09013,35.688,0.522
37297,55027,0.391,0.002
37297,55131,14.483,1.547
37324,18009,3.521,0.019
37351,01103,13.908,0.053
37405,45031,12.681,0.453
37432,13147,6.774,0.012
37459,17111,4.364,0.0
37513,26015,4.739,0.355
37540,27037,7.363,0.034
37567,31001,12.821,0.144
37594,28035,36.298,0.098
37594,28073,27.321,1.394
37675,37049,15.732,0.114
37702,30041,4.092,0.0
37770,26035,3.249,0.301
37783,20051,9.739,0.0
37837,21193,7.748,0.3
37891,13161,4.945,0.073
37945,42025,0.584,0.0
37945,42079,17.843,0.023
37945,42107,0.592,0.0
37980,48257,2.767,0.055
38053,49051,13.141,0.0
38060,04017,9.223,0.0
38080,05023,7.773,0.017
38161,30049,31.68,0.07
38172,05107,6.111,0.0
38215,06065,37.058,0.122
38242,48473,3.029,0.001
38258,21101,15.26,0.102
38269,37181,16.274,0.029
38296,47023,5.409,0.009
38323,48401,10.5,0.055
38404,40111,5.22,0.0
38431,48117,6.672,0.0
38485,41059,15.479,0.016
38620,27137,6.877,0.011
38647,37003,5.756,0.428
38647,37023,62.344,0.124
38647,37027,55.266,0.362
38647,37035,97.971,1.167
38701,06073,3.755,0.0
38718,26039,0.113,0.003
38718,26143,4.412,0.0
38728,29107,2.111,0.014
38755,17119,5.311,0.041
38809,37057,26.011,0.009
38809,37067,0.411,0.0
38809,37081,55.284,1.509
38809,37151,19.088,0.123
38863,17135,3.886,0.048
38917,39071,4.828,0.0
38944,48217,5.947,0.023
38978,37135,10.972,0.137
38998,26059,6.671,0.111
39052,15001,23.439,0.084
39069,36055,4.029,0.0
39133,13179,32.944,0.096
39133,13183,4.286,0.016
39214,35025,25.993,0.051
39349,37019,19.648,0.118
39376,40063,2.502,0.008
39403,31137,2.937,0.014
39430,26005,11.273,0.069
39430,26139,53.53,3.307
39511,06069,13.179,0.011
39538,26125,5.087,0.402
39565,28093,5.317,0.0
39589,29027,4.738,0.131
39619,06025,1.615,0.005
39781,48325,3.036,0.005
39835,42127,3.979,0.211
39889,15003,144.974,3.309
39916,41027,5.568,0.006
39916,53039,3.763,0.0
39970,17183,2.259,0.0
40024,05057,7.867,0.063
40078,21047,22.823,0.11
40132,36101,5.776,0.0
40153,48453,3.797,0.0
40186,21009,1.384,0.003
40186,21099,2.31,0.013
40189,48053,1.68,0.003
40189,48299,6.799,0.098
40213,05051,50.244,4.631
40213,05059,0.033,0.0
40267,05051,11.025,1.121
40267,05125,9.105,1.256
40294,26061,7.946,0.238
40321,26143,10.906,0.323
40348,23003,2.505,0.0
40375,22007,3.816,0.049
40375,22057,35.185,0.307
40375,22109,55.888,0.27
40429,48039,96.831,0.176
40429,48071,22.424,0.177
40429,48157,249.137,5.746
40429,48167,53.862,2.156
40429,48201,1267.983,17.206
40429,48291,0.122,0.0
40429,48339,52.623,0.238
40429,48473,9.704,0.0
40537,36021,6.417,0.055
40547,27163,2.957,0.189
40547,55109,10.733,0.536
40564,40023,3.96,0.01
40618,19091,3.665,0.037
40645,47053,5.292,0.0
40672,18037,3.666,0.029
40699,42061,4.12,0.083
40726,18069,9.825,0.172
40753,21019,28.93,1.807
40753,21089,13.752,1.581
40753,39087,19.322,1.498
40753,39145,0.637,0.004
40753,54011,37.211,3.653
40753,54079,11.865,0.13
40753,54099,17.158,1.795
40780,01083,19.496,0.061
40780,01089,195.271,0.953
40807,48471,16.997,0.286
40813,01089,10.714,0.038
40834,06019,1.294,0.0
40861,46005,7.891,0.09
40888,49053,10.252,0.0
40915,20155,24.502,0.145
40942,27085,8.083,0.278
40969,40089,4.166,0.014
40996,16019,41.258,0.281
41023,36043,8.112,0.031
41077,12021,10.6,0.319
41100,06017,1.228,0.0
41100,06061,12.57,0.034
41100,32031,7.301,0.002
41131,19019,4.789,0.072
41158,20125,4.601,0.003
41185,42063,13.752,0.039
41212,18011,22.958,0.068
41212,18057,148.307,4.902
41212,18059,36.968,0.219
41212,18063,83.872,0.581
41212,18081,57.606,0.04
41212,18095,2.323,0.0
41212,18097,354.387,3.996
41212,18109,16.128,0.183
41224,24017,3.723,0.005
41239,19181,8.703,0.0
41266,28133,5.114,0.087
41320,12085,1.492,0.022
41347,06065,151.823,1.428
41365,45083,13.686,0.026
41401,27071,7.388,0.027
41482,20001,4.201,0.047
41509,06005,1.691,0.0
41536,26067,4.915,0.0
41590,19103,50.834,0.521
41617,19083,4.067,0.078
41644,48485,3.06,0.072
41657,25009,6.077,0.177
41671,26043,11.847,0.233
41671,55075,1.335,0.0
41752,26053,4.381,0.0
41752,55051,1.659,0.05
41806,21065,2.773,0.0
41820,27059,3.233,0.03
41833,26103,5.84,0.074
41914,36109,24.558,0.211
42049,06005,4.823,0.0
42076,13035,4.716,0.014
42157,26075,52.03,1.181
42211,28049,113.388,1.42
42211,28089,39.179,0.823
42211,28121,84.59,0.413
42238,39079,4.03,0.0
42265,47113,47.743,0.009
42292,55131,3.604,0.02
42319,56039,2.883,0.03
42346,12019,78.42,11.646
42346,12031,418.749,51.101
42346,12109,76.104,12.001
42373,17137,12.223,0.118
42400,37133,75.655,0.678
42427,48073,10.544,0.0
42481,36013,26.382,0.156
42508,38093,9.404,0.032
42562,55105,36.653,0.542
42616,01127,16.701,0.033
42670,13227,8.211,0.054
42697,18037,11.526,0.062
42751,48241,8.537,0.005
42778,72073,8.529,0.0
42805,22045,2.675,0.06
42805,22101,0.156,0.0
42849,13157,10.669,0.105
42952,55055,4.632,0.261
42967,29051,34.457,0.095
43021,22053,7.697,0.018
43048,16053,5.462,0.001
43064,42035,5.044,0.007
43064,42081,2.259,0.053
43075,17083,4.769,0.0
43102,13305,11.903,0.067
43115,09011,2.591,0.239
43210,47019,33.776,0.215
43210,47163,6.9,0.437
43210,47171,0.058,0.0
43210,47179,65.294,0.375
43227,32005,4.145,0.0
43253,08123,5.74,0.066
43264,39089,2.839,0.022
43291,42021,29.949,0.295
43291,42111,4.747,0.0
43345,05031,46.495,0.142
43372,22049,5.703,0.059
43399,29097,50.477,0.081
43399,29145,10.055,0.03
43426,27139,2.988,0.023
43439,06071,3.803,0.0
43453,72075,13.524,0.366
43453,72113,5.207,0.055
43453,72149,12.439,0.755
43507,20061,20.196,0.225
43507,20161,3.762,0.0
43534,41039,2.825,0.0
43561,02110,14.778,0.244
43615,15009,13.517,0.043
43642,15001,21.339,0.0
43669,15003,29.284,0.531
43723,26077,109.46,5.675
43777,30029,18.726,0.218
43885,17091,31.66,0.759
43912,20091,219.855,1.501
43912,20103,1.22,0.061
43912,20209,86.399,1.472
43912,29037,22.647,0.347
43912,29047,93.156,1.169
43912,29095,232.244,2.644
43912,29107,0.044,0.0
43912,29165,58.533,1.077
43939,15007,11.266,0.034
43993,22113,2.531,0.0
44047,27039,3.402,0.0
44074,48257,3.068,0.002
44155,29047,5.614,0.0
44182,31019,18.168,0.135
44209,33005,14.531,0.169
44236,15007,2.036,0.005
44344,02122,13.048,0.049
44371,18113,5.725,0.039
44452,29069,6.421,0.001
44479,53005,80.011,2.746
44479,53021,32.204,1.778
44506,55059,56.171,0.247
44533,39065,4.279,0.0
44560,17067,2.177,0.009
44560,19111,6.856,0.005
44587,06019,2.765,0.0
44614,48495,2.79,0.0
44641,48265,21.822,0.168
44668,02130,23.677,0.224
44695,16013,7.987,0.046
44722,17073,5.953,0.0
44789,12087,14.996,1.983
44803,24001,0.231,0.0
44803,54057,3.163,0.0
44830,12007,2.296,0.169
44830,12019,7.918,1.087
44857,12087,6.769,1.345
44911,15009,8.144,0.006
44938,48183,19.334,0.021
44938,48401,2.429,0.001
44965,37053,8.121,0.047
44965,37055,25.431,0.8
44992,48027,75.548,0.263
44992,48099,24.433,0.013
44992,48281,0.442,0.0
45032,29209,9.355,0.004
45073,06053,3.007,0.004
45127,04015,22.541,0.0
45157,06019,3.648,0.0
45157,06107,0.268,0.0
45181,48053,1.285,0.006
45181,48299,9.054,0.055
45196,13039,30.432,0.352
45208,37045,11.047,0.013
45208,37071,1.092,0.0
45235,47073,18.609,0.049
45235,47163,64.911,0.952
45235,47179,9.911,0.007
45235,51169,0.621,0.0
45262,36111,31.098,0.824
45289,45089,5.083,0.0
45316,48273,12.686,0.003
45370,26033,3.201,0.0
45397,37107,17.907,0.01
45424,29001,8.595,0.022
45436,35045,5.902,0.0
45443,36071,28.754,0.826
45451,12095,41.231,0.583
45451,12097,120.35,3.387
45478,42005,10.338,0.46
45505,41035,23.689,0.679
45613,19125,3.833,0.0
45640,47001,46.024,0.66
45640,47009,73.768,0.124
45640,47093,278.157,3.686
45640,47105,31.168,0.043
45640,47145,2.79,0.0
45667,02150,4.984,0.253
45694,18067,32.012,0.0
45694,18103,0.349,0.0
45694,18159,0.138,0.0
45721,28007,5.593,0.002
45761,48121,3.27,0.003
45775,16001,6.326,0.018
45802,42011,3.746,0.018
45829,12043,0.201,0.0
45829,12051,8.186,0.013
45856,33001,27.466,2.894
45856,33013,0.917,0.025
45910,27055,3.232,0.317
45910,55063,38.898,2.116
45910,55123,0.107,0.0
45991,13295,6.367,0.0
46018,18157,68.741,0.917
46045,22045,9.253,0.0
46045,22055,145.053,0.195
46045,22097,0.216,0.0
46045,22099,2.894,0.0
46045,22113,3.784,0.011
46099,47111,5.319,0.0
46126,08001,1.503,0.002
46126,08013,23.124,0.283
46126,08014,3.436,0.007
46126,08123,6.927,0.004
46153,47013,23.812,0.345
46180,48453,8.375,0.0
46207,41061,6.186,0.0
46234,13285,31.46,0.051
46288,21185,20.193,0.335
46342,48149,3.82,0.003
46396,15009,5.342,0.007
46423,15003,3.41,0.0
46450,08089,3.88,0.012
46489,12083,2.994,0.234
46531,22019,127.742,0.894
46558,12023,28.557,0.24
46585,27049,0.468,0.001
46585,27157,2.33,0.008
46612,45041,5.516,0.0
46639,48339,7.745,0.033
46666,48339,19.266,2.421
46684,55021,1.631,0.084
46684,55111,7.726,0.576
46687,36029,7.737,0.0
46693,55127,6.341,0.031
46747,04015,33.787,0.046
46760,17037,0.496,0.0
46760,17099,3.804,0.483
46774,06029,2.461,0.02
46801,48039,34.348,1.945
46828,12057,0.1,0.0
46828,12105,145.833,11.604
46882,55055,4.069,0.018
46889,34037,8.233,1.254
46909,51065,6.325,0.536
46963,06057,2.318,0.351
46972,51137,7.027,0.805
47010,12055,23.566,3.573
47017,36031,3.462,0.208
47044,09007,7.653,0.822
47071,06033,6.203,0.045
47120,37069,3.21,0.537
47125,18089,4.223,0.319
47125,18127,1.177,0.163
47287,08099,4.259,0.014
47368,34019,1.268,0.001
47368,42017,4.359,0.046
47395,48115,4.344,0.009
47412,06029,2.794,0.0
47422,48281,3.915,0.009
47503,39045,20.051,0.075
47530,42011,0.055,0.0
47530,42071,180.073,1.35
47530,42133,1.403,0.0
47557,45057,22.367,0.03
47638,56013,2.993,0.0
47665,37149,2.152,0.0
47665,45045,0.433,0.134
47665,45083,2.815,0.006
47719,26037,26.338,0.539
47719,26045,33.957,0.739
47719,26065,95.533,2.075
47746,26087,8.833,0.229
47800,24017,6.265,0.005
47827,56001,15.182,0.016
47854,48479,64.205,0.605
47865,72027,3.333,0.0
47865,72065,1.763,0.0
47865,72081,23.225,0.0
47865,72131,1.729,0.0
47865,72141,0.031,0.0
47881,20145,2.083,0.0
47935,35013,64.471,0.02
47989,35047,6.983,0.0
47995,32003,435.295,0.588
48016,32003,1.52,0.0
48043,28067,20.225,0.097
48070,30111,5.935,0.004
48151,45059,9.674,0.0
48178,37165,13.145,0.149
48232,20045,29.925,0.416
48259,21005,6.555,0.03
48286,47099,9.668,0.0
48340,17101,2.604,0.0
48394,40031,46.834,0.053
48421,46081,3.884,0.0
48448,08065,2.495,0.0
48475,20103,21.676,0.032
48502,18011,8.362,0.0
48529,21155,4.942,0.012
48556,29105,12.401,0.058
48583,33009,23.187,2.525
48583,50027,6.976,0.123
48637,41043,8.545,0.145
48664,42011,0.085,0.0
48664,42075,32.624,0.148
48691,47189,30.292,0.004
48745,25003,12.558,0.164
48799,12069,85.601,8.234
48799,12095,0.494,0.022
48826,29037,3.147,0.657
48826,29095,34.447,0.413
48853,22115,6.882,0.039
48890,42025,9.859,0.202
48915,34005,3.277,0.116
48934,21085,5.458,0.01
48988,19149,5.468,0.0
49015,06031,6.672,0.0
49042,06031,5.104,0.0
49096,25017,0.128,0.012
49096,25027,52.804,2.108
49109,24037,6.178,0.06
49150,36037,2.988,0.001
49204,48219,6.405,0.002
49231,10005,38.303,0.692
49258,47117,9.383,0.006
49285,54025,7.004,0.114
49312,16069,16.026,0.419
49312,53003,11.652,0.106
49312,53075,0.251,0.0
49339,23001,31.417,0.841
49366,30027,2.918,0.0
49393,42087,11.984,0.144
49474,31047,4.71,0.013
49528,47077,6.654,0.002
