Code,Name
662,"Abilene-Sweetwater, TX"
532,"Albany et al, NY"
525,"Albany, GA"
790,"Albuquerque-Santa Fe, NM"
644,"Alexandria, LA"
583,"Alpena, MI"
634,"Amarillo, TX"
743,"Anchorage, AK"
524,"Atlanta, GA"
520,"Augusta, GA"
635,"Austin, TX"
800,"Bakersfield, CA"
512,"Baltimore, MD"
537,"Bangor, ME"
716,"Baton Rouge, LA"
692,"Beaumont-Port Arthur, TX"
821,"Bend, OR"
756,"Billings, MT"
746,"Biloxi-Gulfport, MS"
502,"Binghamton, NY"
630,"Birmingham et al, AL"
559,"Bluefield et al, WV"
757,"Boise, ID"
506,"Boston et al, MA-NH"
736,"Bowling Green, KY"
514,"Buffalo, NY"
523,"Burlington et al, VT-NY"
754,"Butte-Bozeman, MT"
767,"Casper-Riverton, WY"
637,"Cedar Rapids et al, IA"
648,"Champaign et al, IL"
564,"Charleston et al, WV"
519,"Charleston, SC"
517,"Charlotte, NC"
584,"Charlottesville, VA"
575,"Chattanooga, TN"
759,"Cheyenne et al, WY-NE"
602,"Chicago, IL"
868,"Chico-Redding, CA"
515,"Cincinnati, OH"
598,"Clarksburg-Weston, WV"
510,"Cleveland et al, OH"
752,"Colorado Sprgs et al, CO"
604,"Columbia et al, MO"
546,"Columbia, SC"
673,"Columbus et al, MS"
522,"Columbus, GA"
535,"Columbus, OH"
600,"Corpus Christi, TX"
623,"Dallas-Ft. Worth, TX"
682,"Davenport et al, IA-IL"
542,"Dayton, OH"
751,"Denver, CO"
679,"Des Moines-Ames, IA"
505,"Detroit, MI"
606,"Dothan, AL"
676,"Duluth-Superior, MN-WI"
765,"El Paso et al, TX-NM"
565,"Elmira et al, NY"
516,"Erie, PA"
801,"Eugene, OR"
802,"Eureka, CA"
649,"Evansville, IN"
745,"Fairbanks, AK"
724,"Fargo-Valley City, ND"
513,"Flint-Saginaw et al, MI"
866,"Fresno-Visalia, CA"
571,"Ft. Myers-Naples, FL"
670,"Ft. Smith et al, AR"
509,"Ft. Wayne, IN"
592,"Gainesville, FL"
798,"Glendive, MT"
773,"Grand Junction et al, CO"
563,"Grand Rapids et al, MI"
755,"Great Falls, MT"
658,"Green Bay-Appleton, WI"
518,"Greensboro et al, NC"
545,"Greenville et al, NC"
567,"Greenville et al, SC-NC"
647,"Greenwood-Greenville, MS"
636,"Harlingen et al, TX"
566,"Harrisburg et al, PA"
569,"Harrisonburg, VA"
533,"Hartford & New Haven, CT"
710,"Hattiesburg-Laurel, MS"
766,"Helena, MT"
744,"Honolulu, HI"
618,"Houston, TX"
691,"Huntsville et al, AL"
758,"Idaho Falls et al, ID"
527,"Indianapolis, IN"
718,"Jackson, MS"
639,"Jackson, TN"
561,"Jacksonville, FL"
574,"Johnstown-Altoona, PA"
734,"Jonesboro, AR"
603,"Joplin-Pittsburg, MO-KS"
747,"Juneau, AK"
616,"Kansas City, MO-KS"
557,"Knoxville, TN"
702,"La Crosse-Eau Claire, WI"
582,"Lafayette, IN"
642,"Lafayette, LA"
643,"Lake Charles, LA"
551,"Lansing, MI"
749,"Laredo, TX"
839,"Las Vegas, NV"
541,"Lexington, KY"
558,"Lima, OH"
722,"Lincoln et al, NE"
693,"Little Rock et al, AR"
803,"Los Angeles, CA"
529,"Louisville, KY"
651,"Lubbock, TX"
503,"Macon, GA"
669,"Madison, WI"
737,"Mankato, MN"
553,"Marquette, MI"
813,"Medford et al, OR"
640,"Memphis, TN"
711,"Meridian, MS"
528,"Miami-Ft. Lauderdale, FL"
617,"Milwaukee, WI"
613,"Minneapolis-St. Paul, MN"
687,"Minot et al, ND"
762,"Missoula, MT"
686,"Mobile et al, AL-FL"
628,"Monroe-El Dorado, LA-AR"
828,"Monterey-Salinas, CA"
698,"Montgomery-Selma, AL"
570,"Myrtle Beach et al, SC"
659,"Nashville, TN"
622,"New Orleans, LA"
501,"New York, NY"
544,"Norfolk et al, VA"
740,"North Platte, NE"
633,"Odessa-Midland, TX"
650,"Oklahoma City, OK"
652,"Omaha, NE"
534,"Orlando et al, FL"
631,"Ottumwa et al, IA-MO"
632,"Paducah et al, KY-MO-IL"
804,"Palm Springs, CA"
656,"Panama City, FL"
597,"Parkersburg, WV"
675,"Peoria-Bloomington, IL"
504,"Philadelphia, PA"
753,"Phoenix et al, AZ"
508,"Pittsburgh, PA"
820,"Portland, OR"
500,"Portland-Auburn, ME"
552,"Presque Isle, ME"
521,"Providence et al, RI-MA"
717,"Quincy et al, IL-MO-IA"
560,"Raleigh et al, NC"
764,"Rapid City, SD"
811,"Reno, NV"
556,"Richmond-Petersburg, VA"
573,"Roanoke-Lynchburg, VA"
611,"Rochester et al, MN-IA"
538,"Rochester, NY"
610,"Rockford, IL"
862,"Sacramento et al, CA"
576,"Salisbury, MD"
770,"Salt Lake City, UT"
661,"San Angelo, TX"
641,"San Antonio, TX"
825,"San Diego, CA"
807,"San Francisco et al, CA"
855,"Santa Barbara et al, CA"
507,"Savannah, GA"
819,"Seattle-Tacoma, WA"
657,"Sherman-Ada, TX-OK"
612,"Shreveport, LA"
624,"Sioux City, IA"
725,"Sioux Falls et al, SD"
588,"South Bend-Elkhart, IN"
881,"Spokane, WA"
619,"Springfield, MO"
543,"Springfield-Holyoke, MA"
638,"St. Joseph, MO"
609,"St. Louis, MO"
555,"Syracuse, NY"
530,"Tallahassee et al, FL-GA"
539,"Tampa et al, FL"
581,"Terre Haute, IN"
547,"Toledo, OH"
605,"Topeka, KS"
540,"Traverse City et al, MI"
531,"Tri-Cities, TN-VA"
789,"Tucson(Sierra Vista), AZ"
671,"Tulsa, OK"
760,"Twin Falls, ID"
709,"Tyler-Longview et al, TX"
526,"Utica, NY"
626,"Victoria, TX"
548,"W. Palm Beach et al, FL"
625,"Waco-Temple-Bryan, TX"
511,"Washington et al, DC-MD"
549,"Watertown, NY"
705,"Wausau-Rhinelander, WI"
554,"Wheeling et al, WV-OH"
627,"Wichita Fls et al, TX-OK"
678,"Wichita et al, KS"
577,"Wilkes Barre et al, PA"
550,"Wilmington, NC"
810,"Yakima et al, WA"
536,"Youngstown, OH"
771,"Yuma-El Centro, AZ-CA"
596,"Zanesville, OH"
